month,day,year,Albany,Goshen,Harrisburg,Jasper,Jefferson,Mehama,Monroe,Salem,Vida,Waterloo,BLU5A,CGR5A,DET5A,DOR5A,FAL5A,FOS_loc,FRN5M,GPR5A,GPR5H,HCR5A,HCR5H,LOP_loc,LOP5E,DEX_loc,BCL_loc,COT5A
1,16,1953,174.14832,66.827648,63.995968,49.5544,435.795552,289.7091808,44.2874752,325.6432,168.1451584,-409.0078592,3132,2830,9319,2365,2240,4154,2437,11400,11400,3180,3180,3530,0,0,0,1200
1,17,1953,380.011456,113.2672,152.91072,56.6336,944.36528,367.1839456,68.0735872,-79.28704,270.6519744,-814.391168,6182,5860,17352,4961,4000,8310,3923,21500,21500,6480,6480,7320,0,0,0,2233
1,18,1953,163.104768,370.2704768,-407.76192,-93.44544,1791.320768,524.56872,118.4774912,-894.81088,577.8609376,-1384.77647,10193,13600,30822,14911,10900,18143,8458,31800,31800,20200,20200,23000,0,0,0,6151
1,19,1953,229.082912,211.101744,1345.331168,297.3264,1866.898307,306.5859936,113.7769024,-150.07904,505.0584448,-765.0349856,4974,6690,19521,6087,4500,9688,9284,18300,18300,10600,10600,22400,0,0,0,2910
1,20,1953,734.537792,174.714656,696.59328,226.817568,1026.767168,219.3419328,98.5707808,540.85088,412.9722112,-613.483472,4516,5500,15894,6117,3490,8305,7607,14300,14300,9490,9490,10810,0,0,0,2549
1,21,1953,945.214784,109.869184,812.69216,198.500768,897.359392,189.72256,51.3666752,1557.424,259.2686208,-389.639168,2604,3840,10507,4035,2590,5340,5711,9330,9330,6230,6230,9370,0,0,0,1670
1,22,1953,634.013152,79.570208,506.87072,132.805792,558.407296,148.0685472,43.4379712,1189.3056,247.630416,-268.0751456,1865,2790,8255,2434,1810,3757,3749,6590,6590,4010,4010,6790,0,0,0,1048
1,23,1953,494.694496,58.898944,351.12832,89.764256,502.6232,170.4105024,28.7132352,982.59296,217.2181728,-237.8044864,1619,2410,7915,1754,1400,3158,2390,6090,6090,3040,3040,5690,0,0,0,721
1,24,1953,271.274944,45.30688,274.67296,64.279136,384.258976,110.43552,24.7488832,999.58304,188.1368192,-169.1645632,1196,1970,5767,1386,1080,2364,1803,4440,4440,2460,2460,4590,0,0,0,544
1,25,1953,188.023552,54.085088,206.71264,53.235584,347.730304,113.0972992,28.4300672,622.9696,171.599808,-163.0764512,1030,1760,5472,1326,960,2279,1824,4300,4300,2190,2190,4110,0,0,0,806
1,26,1953,253.152192,81.835552,212.659168,67.1957664,393.60352,103.2713696,45.7033152,336.96992,160.1881376,-157.5546752,903,1540,4756,1624,977,2324,2776,4040,4040,2100,2100,3940,0,0,0,1089
1,27,1953,257.399712,101.090976,252.01952,55.359344,329.324384,87.5838624,36.9251072,353.96,145.1802336,-119.0438272,713,1340,3745,1477,885,1824,2549,3150,3150,1850,1850,3520,0,0,0,913
1,28,1953,177.263168,38.794016,198.500768,41.908864,253.152192,81.6090176,27.2973952,444.57376,136.4586592,-119.8083808,741,1320,3657,1326,950,1821,2107,3170,3170,1800,1800,3090,0,0,0,710
1,29,1953,173.298816,62.2120096,173.015648,53.235584,334.13824,104.0925568,24.7488832,277.50464,148.7198336,-191.421568,1208,1580,4067,1765,1380,2680,1662,4880,4880,2200,2200,3510,0,0,0,688
1,30,1953,121.195904,40.1249056,144.41568,51.536576,349.429312,127.2273824,19.3686912,172.73248,164.8887264,-250.4054624,1677,2040,5762,1763,1390,3393,1274,6210,6210,2300,2300,3710,0,0,0,623
1,31,1953,129.124608,38.6241152,152.627552,55.784096,411.443104,182.3885088,17.6696832,118.93056,177.6596032,-282.318496,2006,2320,8090,1805,1460,3870,1239,7470,7470,2500,2500,3910,0,0,0,576
2,1,1953,127.991936,34.9146144,129.124608,83.251392,271.84128,138.6956864,19.11384,127.4256,198.4724512,-31.8564,2111,2780,8208,2272,1920,4285,1097,7940,7940,3000,3000,4840,0,0,0,582
2,2,1953,131.956288,35.6225344,100.52464,78.437536,-45.30688,146.7376576,21.662352,141.584,191.1667168,160.3297216,2029,3020,8055,2713,2320,4558,1611,6980,6980,3500,3500,4510,0,0,0,749
2,3,1953,236.162112,128.84144,-348.862976,192.271072,331.30656,291.5497728,45.731632,-141.584,387.9118432,-156.733488,4281,6320,14407,7762,6410,10035,2715,16500,16500,9000,9000,11700,0,0,0,2025
2,4,1953,125.726592,120.063232,693.7616,235.02944,477.13808,170.467136,37.802928,-19.82176,314.7129152,-8.070288,2616,4570,9130,5102,4100,5885,2897,10100,10100,7000,7000,11800,0,0,0,1567
2,5,1953,10.760384,102.506816,301.857088,255.417536,322.81152,148.380032,43.466288,-121.76224,279.2885984,-178.1976224,2827,4410,11345,4658,4380,6293,3103,10400,10400,6500,6500,8300,0,0,0,1415
2,6,1953,400.965888,95.710784,253.718528,189.72256,773.898144,231.348256,33.838576,164.23744,383.69264,-403.7409344,3460,5790,11605,5966,5600,8528,2503,13000,13000,8500,8500,13100,0,0,0,1686
2,7,1953,136.770144,89.19792,468.64304,195.102752,600.31616,189.1279072,32.422736,419.08864,317.6012288,-313.9766784,2604,4680,10614,4471,3710,6208,2483,10500,10500,6000,6000,10000,0,0,0,1210
2,8,1953,318.564,106.754336,453.635136,182.077024,592.387456,108.736512,32.139568,317.14816,301.6305536,-237.8044864,2088,3860,8422,4663,3470,5078,2135,7760,7760,5500,5500,9100,0,0,0,1513
2,9,1953,239.843296,76.880112,422.203488,141.867168,375.763936,97.4947424,24.210864,410.5936,223.7876704,-128.6432224,1337,2760,6216,2867,2190,3173,1728,5000,5000,4000,4000,6300,0,0,0,941
2,10,1953,245.789824,67.2240832,340.651104,91.180096,256.833376,72.5476416,17.414832,605.97952,186.4378112,-79.6834752,956,2120,4882,1946,1510,2264,1250,3680,3680,3200,3200,4670,0,0,0,688
2,11,1953,97.126624,44.9104448,240.409632,60.314784,193.403744,58.8139936,36.10392,501.20736,160.4713056,-53.8868704,723,1740,4108,1371,1120,1713,1253,2860,2860,2500,2500,3850,0,0,0,556
2,12,1953,44.457376,34.3765952,182.077024,47.147472,145.83152,52.7258816,12.3461248,345.46496,143.3396416,-38.1144128,598,1490,2815,1056,875,1376,1026,2320,2320,2100,2100,3240,0,0,0,453
2,13,1953,73.3121952,34.8013472,143.849344,41.484112,116.09888,43.7777728,9.769296,226.5344,131.248368,-26.3629408,515,1330,3641,849,715,1181,881,1950,1950,1800,1800,2870,0,0,0,386
2,14,1953,71.4716032,28.0619488,122.611744,29.307888,98.259296,43.3530208,9.2595936,178.39584,124.5372864,-22.370272,462,1220,2399,793,645,1060,916,1760,1760,1600,1600,2740,0,0,0,381
2,15,1953,80.4763456,30.0441248,110.152352,30.8086784,97.69296,42.8150016,10.1657312,152.91072,116.8634336,-20.8694816,413,1140,2820,712,602,957,1031,1630,1630,1500,1500,2550,0,0,0,356
2,16,1953,100.8361248,29.4777888,83.53456,26.051456,94.578112,54.368256,15.2061216,133.08896,119.63848,-46.8926208,585,1190,3542,742,690,1176,1351,2240,2240,1400,1400,2390,0,0,0,422
2,17,1953,293.928384,51.8763776,18.689088,67.393984,590.688448,203.9942272,43.466288,-84.9504,203.2013568,-248.8480384,1924,2000,5068,2497,2470,3928,2910,6500,6500,2100,2100,3050,0,0,0,1064
2,18,1953,500.924192,118.081056,381.144128,107.037504,297.043232,83.7327776,55.076176,127.4256,172.449312,36.3021376,1040,1540,3308,2678,2380,2548,3443,4280,4280,2400,2400,4040,0,0,0,1331
2,19,1953,229.649248,81.4957504,303.839264,66.54448,0,119.3269952,31.573232,271.84128,141.7822176,244.373984,713,1260,2584,1770,1510,1750,2704,3020,3020,1800,1800,3280,0,0,0,869
2,20,1953,180.094848,50.9136064,202.46512,48.988064,-2.83168,55.2743936,31.290064,501.20736,123.8010496,157.0732896,598,1130,2459,1290,1110,1393,1858,2400,2400,1600,1600,2760,0,0,0,653
2,21,1953,130.25728,42.8716352,152.91072,38.369264,9.344544,45.590048,22.4269056,314.31648,113.833536,105.1685952,500,1020,2230,1018,885,1176,1448,2010,2010,1400,1400,2510,0,0,0,522
2,22,1953,110.43552,35.112832,111.568192,34.404912,18.689088,42.0221312,15.149488,249.18784,109.2462144,75.0961536,462,980,2116,938,785,1058,1151,1820,1820,1300,1300,2340,0,0,0,441
2,23,1953,113.550368,34.404912,101.090976,30.44056,37.944512,39.785104,13.025728,202.748288,103.4695872,53.2922176,406,930,1894,827,675,928,981,1610,1610,1200,1200,2230,0,0,0,381
2,24,1953,83.817728,31.431648,77.8712,28.033632,30.865312,31.997984,11.5815712,194.819584,99.958304,39.7284704,378,872,1867,768,610,847,867,1440,1440,1150,1150,2070,0,0,0,356
2,25,1953,80.986048,26.6461088,71.924672,24.4090816,26.334624,28.033632,8.5799904,167.635456,95.8240512,32.5076864,350,836,1237,698,558,782,747,1320,1320,1100,1100,1940,0,0,0,326
2,26,1953,70.3955648,22.4269056,57.766272,21.2376,-9.627712,27.184128,7.0508832,156.875072,93.4737568,60.1732,343,836,2200,708,550,755,670,1250,1250,1050,1050,1870,0,0,0,310
2,27,1953,67.7337856,20.0199776,42.4752,22.1437376,-11.893056,26.617792,6.2580128,143.566176,95.8806848,57.1716192,378,736,1681,853,598,761,642,1230,1230,1050,1050,1870,0,0,0,285
2,28,1953,71.4149696,17.6413664,24.635616,26.051456,0.566336,27.750464,6.088112,124.310752,98.4575136,37.236592,413,760,1771,965,670,835,592,1350,1350,1100,1100,1990,0,0,0,295
3,1,1953,71.5848704,28.1468992,39.926688,21.520768,-4.813856,27.8637312,5.6067264,116.382048,96.2488032,45.6466816,385,736,1617,832,610,768,530,1250,1250,1100,1100,1970,0,0,0,271
3,2,1953,49.4411328,22.3136384,47.572224,19.5952256,-17.556416,25.8815552,5.1536576,124.027584,93.020688,54.7646912,343,672,1566,690,518,706,525,1140,1140,1050,1050,1840,0,0,0,252
3,3,1953,44.2308416,16.7352288,45.9864832,18.5758208,-14.1584,25.7966048,4.7005888,122.045408,89.19792,53.8585536,310,640,1470,611,474,648,409,1060,1060,1000,1000,1750,0,0,0,233
3,4,1953,39.0205504,13.3655296,41.7955968,17.273248,-11.893056,22.4835392,4.2758368,120.629568,87.1591104,45.0520288,284,598,1427,554,430,607,413,982,982,920,920,1700,0,0,0,232
3,5,1953,32.705904,12.2328576,36.4154048,14.6397856,-11.043552,19.82176,4.0209856,114.116704,84.3557472,38.4542144,270,591,1365,513,403,574,396,928,928,864,864,1666,0,0,0,197
3,6,1953,34.68808,11.5532544,31.14848,14.6397856,-6.796032,20.9827488,3.7378176,99.958304,83.4212928,31.2334304,264,570,1353,483,383,559,321,888,888,840,840,1620,0,0,0,192
3,7,1953,33.838576,10.9302848,28.6566016,12.9407776,-3.964352,21.0110656,3.5679168,94.578112,81.7222848,24.5506656,290,584,1387,574,383,563,382,900,900,860,860,1570,0,0,0,182
3,8,1953,31.997984,10.760384,17.4431488,13.5354304,0,24.4657152,3.4263328,85.233568,84.24248,12.2611744,413,672,1586,682,462,667,357,1080,1080,950,950,1670,0,0,0,187
3,9,1953,35.820752,10.1090976,15.2344384,14.2716672,15.857408,29.0813536,3.1431648,71.924672,88.2351488,-0.7362368,484,800,1835,753,486,766,332,1260,1260,1100,1100,1790,0,0,0,182
3,10,1953,39.218768,11.0718688,17.1033472,15.4043392,30.582144,31.4599648,3.7095008,70.508832,89.5943552,-9.4294944,493,863,2094,722,466,833,468,1360,1360,1210,1210,1860,0,0,0,212
3,11,1953,43.466288,11.8647392,25.48512,16.140576,43.041536,34.263328,4.5873216,70.508832,89.339504,-18.3776032,500,845,2283,692,450,929,448,1570,1570,1220,1220,1940,0,0,0,217
3,12,1953,50.5171712,20.0766112,-1.41584,23.927696,64.562304,38.7090656,5.521776,63.146464,93.44544,-29.9025408,545,845,2452,1042,615,1136,559,1800,1800,1320,1320,2080,0,0,0,344
3,13,1953,83.5628768,26.5328416,31.14848,23.219776,76.172192,35.7641184,5.0403904,73.340512,91.5198976,-24.4657152,484,784,2169,926,620,1014,433,1570,1570,1210,1210,2110,0,0,0,301
3,14,1953,50.0641024,20.7278976,32.847488,19.5952256,59.46528,31.14848,3.9926688,103.35632,86.36624,-15.291072,434,736,1920,842,598,910,518,1350,1350,1120,1120,1970,0,0,0,305
3,15,1953,53.943504,20.246512,29.449472,19.3686912,52.102912,34.5748128,6.9092992,92.0296,85.3185184,-20.1898784,455,712,2176,757,566,953,672,1500,1500,1050,1050,1920,0,0,0,251
3,16,1953,116.09888,26.4478912,13.025728,18.972256,120.063232,55.2460768,19.0855232,58.332608,92.171184,-64.1092352,687,768,2916,858,660,1484,1372,2600,2600,1090,1090,1880,0,0,0,343
3,17,1953,237.011616,37.0383744,51.536576,28.3168,196.80176,47.2041056,24.7488832,124.59392,98.7973152,-56.3787488,655,776,2559,964,810,1501,1922,2300,2300,1140,1140,1990,0,0,0,383
3,18,1953,200.199776,36.245504,44.174208,25.909872,146.964192,48.9597472,13.2805792,161.40576,98.4858304,-48.2235104,598,784,2405,1088,885,1373,1720,2010,2010,1220,1220,1920,0,0,0,512
3,19,1953,211.2999616,46.0997504,53.235584,29.166304,156.875072,52.9240992,17.3865152,155.7424,100.4963232,-50.687072,584,827,2260,1499,1100,1440,1629,2040,2040,1530,1530,2260,0,0,0,780
3,20,1953,209.261152,82.6284224,97.976128,58.332608,152.91072,51.111824,16.3671104,108.736512,101.798896,-52.0179616,568,827,2338,1714,1350,1557,1954,2160,2160,1500,1500,2610,0,0,0,1079
3,21,1953,214.075008,90.61376,137.619648,54.934592,149.512704,52.810832,35.6225344,99.675136,107.5188896,-47.3740064,576,827,2237,1657,1390,1493,2321,2240,2240,1430,1430,2620,0,0,0,1205
3,22,1953,226.251232,77.304864,95.427616,66.827648,231.348256,107.6321568,33.3571904,36.81184,139.3469728,-148.521616,819,1160,2976,2324,2540,3125,2502,4340,4340,1820,1820,2810,0,0,0,1421
3,23,1953,290.2472,73.906848,205.013632,81.552384,372.649088,111.0584896,34.7730304,110.43552,145.0103328,-152.0895328,1019,1340,3348,2689,2580,3131,2207,4630,4630,2100,2100,3340,0,0,0,1190
3,24,1953,167.06912,59.182112,145.265184,67.110816,292.229376,104.7155264,30.2423424,218.03936,144.698848,-144.1608288,1220,1590,3905,3150,2560,3071,1977,4620,4620,2590,2590,3280,0,0,0,1172
3,25,1953,224.552224,64.42072,188.023552,87.215744,362.45504,98.4291968,23.7294784,184.0592,143.141424,-134.8729184,1125,1540,3937,2809,2500,2913,1737,4310,4310,2700,2700,3920,0,0,0,1141
3,26,1953,152.061216,55.6708288,203.314624,64.279136,256.550208,70.7636832,20.8694816,235.02944,125.7832256,-85.8282208,808,1270,3209,1987,1720,2111,1298,3170,3170,2080,2080,3390,0,0,0,839
3,27,1953,97.69296,47.3456896,162.8216,48.421728,173.015648,56.2371648,14.6397856,257.68288,113.0689824,-51.1684576,687,1110,2829,1466,1260,1657,1039,2590,2590,1740,1740,2930,0,0,0,625
3,28,1953,98.259296,36.387088,112.700864,42.4752,126.576096,51.67816,12.2894912,218.03936,108.6515616,-23.7011616,663,1040,2719,1312,1070,1487,1013,2400,2400,1620,1620,2760,0,0,0,593
3,29,1953,111.5965088,33.1023392,101.090976,33.130656,-1.132672,44.2591584,8.8631584,182.360192,103.1297856,92.3410848,598,960,2449,1104,880,1299,832,2140,2140,1480,1480,2590,0,0,0,455
3,30,1953,99.5901856,31.3750144,75.03952,29.166304,-223.419552,44.0043072,5.1819744,158.290912,97.8062272,296.3919456,576,930,2407,515,820,1283,866,2050,2050,1380,1380,2410,0,0,0,447
3,31,1953,122.7816448,26.5045248,71.641504,31.14848,-90.61376,44.0043072,8.2401888,131.956288,93.8418752,171.5148576,576,910,2256,1493,880,1293,665,2090,2090,1320,1320,2400,0,0,0,400
4,1,1953,94.6347456,24.8055168,49.837568,28.883136,-24.352448,38.0294624,7.0225664,143.849344,97.6646432,92.1145504,515,836,2116,872,750,1137,587,1790,1790,1230,1230,2220,0,0,0,366
4,2,1953,84.5822816,22.9932416,42.192032,24.7772,-0.849504,33.7819424,8.49504,130.540448,95.1727648,58.9272608,455,784,1965,782,655,999,492,1590,1590,1140,1140,2150,0,0,0,320
4,3,1953,70.9619008,20.104928,37.944512,23.0498752,-5.097024,32.1112512,5.7766272,133.938464,92.7941536,51.394992,455,768,1923,731,586,935,458,1500,1500,1110,1110,2030,0,0,0,289
4,4,1953,65.5817088,16.2538432,28.033632,21.1809664,-109.01968,31.006896,4.7572224,122.611744,91.9446496,147.672112,493,760,1983,722,542,915,448,1520,1520,1120,1120,1970,0,0,0,273
4,5,1953,64.0526016,14.9512704,23.6728448,19.4253248,-157.724576,31.573232,4.4457376,112.134528,90.6420768,192.9223584,523,776,1993,742,534,927,378,1570,1570,1170,1170,1990,0,0,0,268
4,6,1953,64.3640864,14.2716672,26.051456,17.7829504,-258.249216,31.3183808,4.1908864,99.675136,87.8103968,291.804624,507,792,2052,707,522,935,376,1560,1560,1190,1190,2080,0,0,0,253
4,7,1953,64.6755712,14.0451328,27.4106624,16.7635456,-162.538432,31.290064,3.822768,94.011776,87.3856448,199.067104,462,752,1932,672,518,890,418,1420,1420,1130,1130,2140,0,0,0,243
4,8,1953,56.492016,13.1389952,28.883136,17.6130496,-104.77216,27.2973952,3.681184,101.090976,84.0442624,138.9788544,420,712,1822,566,478,812,343,1280,1280,1050,1050,2010,0,0,0,233
4,9,1953,48.13856,12.0063232,28.883136,14.6114688,-85.516736,24.4657152,3.6528672,101.657312,80.9294144,115.9856128,378,664,1721,530,434,744,293,1160,1160,969,969,1901,0,0,0,198
4,10,1953,45.023712,13.4221632,29.166304,15.0928544,-63.995968,24.2391808,3.3413824,94.011776,79.2020896,92.0012832,357,626,1660,470,407,701,289,1080,1080,928,928,1762,0,0,0,194
4,11,1953,36.528672,9.344544,25.7116544,13.4787968,-49.271232,21.803936,3.1997984,94.578112,77.8712,74.473184,335,605,1546,476,414,670,330,1040,1040,888,888,1722,0,0,0,194
4,12,1953,40.917776,9.5710784,20.671264,12.8558272,-40.776192,23.3047264,3.1997984,83.53456,79.6268416,60.0599328,343,605,1604,496,466,739,410,1110,1110,856,856,1704,0,0,0,199
4,13,1953,47.147472,9.344544,18.3492864,13.025728,-30.582144,24.1825472,3.7661344,72.20784,82.3735712,45.6183648,378,633,1724,512,590,939,370,1310,1310,832,832,1708,0,0,0,179
4,14,1953,52.810832,9.1180096,34.4332288,4.105936,-29.449472,24.635616,3.3413824,65.694976,81.7506016,55.4726112,420,633,1566,552,785,981,335,1400,1400,816,816,1754,0,0,0,179
4,15,1953,42.192032,8.4667232,33.413824,3.822768,-88.065248,23.9843296,3.0582144,81.552384,79.9383264,112.5026464,385,612,1610,562,685,907,335,1300,1300,816,816,1664,0,0,0,173
4,16,1953,44.740544,8.7498912,35.4526336,9.20296,-76.45536,25.0886848,3.1997984,78.154368,80.8161472,93.6436576,434,672,1641,638,685,973,420,1390,1390,904,904,1086,0,0,0,211
4,17,1953,46.864304,11.3833536,10.0807808,10.335632,-47.855392,30.298976,3.7661344,65.978144,85.7432704,62.0704256,545,827,1869,767,715,1178,340,1810,1810,1090,1090,1230,0,0,0,237
4,18,1953,62.155376,11.1568192,16.8201792,9.91088,-31.714816,30.6954112,3.3413824,77.588032,84.9220832,57.6813216,554,827,1875,706,620,1143,380,1800,1800,1100,1100,1750,0,0,0,226
4,19,1953,50.403904,10.0241472,15.9706752,10.2506816,-40.776192,34.0367936,3.1997984,79.570208,85.0070336,56.6619168,638,900,2149,706,578,1179,345,1910,1910,1150,1150,1890,0,0,0,211
4,20,1953,49.129648,8.0986048,8.7215744,16.0839424,-15.57424,41.5407456,2.8599968,59.182112,92.3410848,24.2391808,829,1130,2849,825,582,1394,301,2360,2360,1360,1360,1490,0,0,0,206
4,21,1953,49.412816,8.5516736,-13.3655296,9.7976128,26.617792,44.5140096,2.6051456,57.766272,97.551376,-6.1447456,935,1360,3268,868,574,1537,266,2630,2630,1630,1630,1970,0,0,0,196
4,22,1953,66.6577472,15.4043392,-10.760384,10.9302848,42.758368,43.7777728,2.4918784,52.669248,102.365232,-23.4179936,945,1490,3626,641,554,1607,427,2650,2650,1810,1810,2630,0,0,0,197
4,23,1953,63.9393344,12.4877088,-1.132672,14.9512704,54.368256,44.3441088,2.548512,43.607872,106.3579008,-29.7043232,914,1530,3815,767,522,1629,52,2650,2650,1940,1940,2930,0,0,0,177
4,24,1953,55.4442944,12.8558272,23.786112,16.0839424,32.847488,36.9251072,2.406928,62.580128,99.3353344,-5.5784096,732,1330,3248,635,442,1357,224,2180,2180,1770,1770,2920,0,0,0,147
4,25,1953,32.9324384,11.1001856,14.2716672,40.0116384,21.803936,38.1710464,2.1803936,83.251392,98.7406816,-5.521776,723,1290,3293,606,407,1285,303,2070,2070,1700,1700,1740,0,0,0,157
4,26,1953,27.5239296,8.7215744,-12.0629568,5.0403904,25.201952,41.5973792,3.0582144,83.817728,103.3280032,-10.6754336,751,1390,3463,710,422,1357,647,2200,2200,1840,1840,1620,0,0,0,223
4,27,1953,88.914752,17.2449312,-21.803936,9.91088,45.590048,48.704896,8.0136544,19.255424,116.6368992,-60.6829024,1051,1630,4723,1043,570,2043,742,3230,3230,2180,2180,2800,0,0,0,455
4,28,1953,115.1361088,21.3225504,10.477216,30.015808,157.15824,71.3017024,6.2580128,-22.65344,130.0024288,-77.5030816,1009,1650,4456,1246,870,2227,571,3440,3440,2180,2180,3500,0,0,0,509
4,29,1953,74.4165504,32.847488,48.988064,25.343536,114.116704,59.6918144,5.9182112,90.61376,119.496896,-37.8595616,850,1450,3684,1072,735,1857,838,2770,2770,1850,1850,3320,0,0,0,419
4,30,1953,54.934592,27.8354144,69.092992,9.627712,86.083072,44.3441088,7.6172192,109.586016,118.4208576,-27.0708608,798,1340,3311,1150,850,1786,808,2750,2750,1670,1670,2290,0,0,0,411
5,1,1953,75.889024,26.6744256,-55.500928,49.3844992,72.20784,41.484112,7.8437536,85.233568,112.9273984,-6.2013792,732,1210,2959,1208,976,1639,717,2610,2610,1520,1520,5460,10,0,0,361
5,2,1953,154.9778464,30.2423424,129.124608,51.3666752,-11.893056,38.9356,5.946528,29.166304,106.6693856,70.9052672,663,1110,2748,1121,916,1446,636,2430,2430,1400,1400,2570,10,0,0,579
5,3,1953,-4.530688,29.02472,45.30688,30.865312,-48.988064,35.254416,5.0120736,148.6632,101.4307776,98.4291968,598,1060,2395,929,760,1294,545,2130,2130,1310,1310,2140,10,0,0,330
5,4,1953,61.5324064,20.52968,17.273248,22.370272,-22.087104,37.2649088,4.24752,98.542464,103.0448352,53.8585536,671,1170,3029,823,640,1308,460,2210,2210,1340,1340,2170,10,0,0,124
5,5,1953,70.792,15.857408,-3.398016,14.0451328,-53.80192,38.4258976,3.822768,70.792,112.1628448,78.0694176,819,1440,3872,807,574,1473,369,2510,2510,1590,1590,2400,10,0,0,170
5,6,1953,79.711792,15.5176064,-2.83168,15.9706752,-322.245184,46.1280672,3.4263328,39.360352,123.2063968,346.0596128,819,1580,4276,772,526,1519,504,2560,2560,1860,1860,2770,10,0,0,236
5,7,1953,71.641504,18.0378016,11.893056,17.273248,-334.421408,38.5957984,3.398016,47.855392,126.8875808,365.853056,769,1570,4117,782,550,1520,329,2460,2460,1960,1960,3000,10,0,0,323
5,8,1953,65.978144,19.7651264,29.73264,23.786112,-128.558272,49.1579648,4.1342528,22.65344,125.6699584,178.9338592,732,1430,3610,944,660,1621,459,2560,2560,1770,1770,3080,10,0,0,387
5,9,1953,68.101904,22.1720544,28.883136,27.467296,-41.05936,37.8878784,3.256432,62.013792,124.169168,94.6347456,655,1310,3249,1253,860,1508,337,2530,2530,1630,1630,2940,10,0,0,407
5,10,1953,66.4312128,24.4657152,47.289056,23.644528,-11.893056,33.3288736,3.681184,70.225664,115.7024448,62.721712,584,1190,2887,1383,835,1355,382,2360,2360,1520,1520,2730,10,0,0,456
5,11,1953,42.0787648,23.7577952,30.865312,23.36136,-18.122752,30.7520448,3.2847488,78.720704,106.5561184,61.5607232,507,1100,2505,1121,705,1186,227,2010,2010,1400,1400,2490,10,0,0,381
5,12,1953,51.0835072,24.352448,26.051456,20.671264,-23.786112,28.741552,1.4724736,79.570208,103.4695872,57.3981536,476,1050,2445,912,590,1073,273,1820,1820,1310,1310,2310,10,0,0,254
