,SALEM_T,SALEM_W,EUGENE_T,EUGENE_W,SEATTLE_T,SEATTLE_W,BOISE_T,BOISE_W,PORTLAND_T,PORTLAND_W,SPOKANE_T,SPOKANE_W,PASCO_T,PASCO_W,FRESNO_T,FRESNO_W,LOS ANGELES_T,LOS ANGELES_W,SAN DIEGO_T,SAN DIEGO_W,SACRAMENTO_T,SACRAMENTO_W,SAN JOSE_T,SAN JOSE_W,SAN FRANCISCO_T,SAN FRANCISCO_W,TUCSON_T,TUCSON_W,PHOENIX_T,PHOENIX_W,LAS VEGAS_T,LAS VEGAS_W,OAKLAND_T,OAKLAND_W
1/18/2000,1.1,0.9,2.2,1.2,1.95,3.6,1.1,1.7,3.05,2.5,-4.15,1.9,-1.65,0.6,15.55,3.4,20,2.8,19.7,2.1,11.1,2.4,14.2,2,13.65,2.5,19.45,3.2,20,1.3,15.85,3.1,13.9,2.7
1/19/2000,1.15,1,2.25,1.6,2.5,3.5,1.35,1.2,2.5,9.3,-6.95,2.8,-4.15,2.4,14.7,2.4,17.5,3.6,18.3,2.2,13.35,2,13.05,2.1,13.9,2.2,17.5,2.6,18.9,1.7,14.75,2.1,13.35,2.3
1/20/2000,5.85,3.4,4.75,2.3,5,2.9,3.65,2.1,3.05,10.3,-3.9,2.5,-0.55,2.3,13.6,3,16.95,3.7,17.75,2.1,10.25,1.6,12.2,2.4,11.65,2.3,17.2,3,18.35,1.5,15.85,2.5,10.25,1.3
1/21/2000,8.9,4,6.1,3.9,6.4,2.9,1.95,1.3,5,8.3,-2.8,1.7,0.3,0.9,11.4,2.6,14.7,3,15,2.6,10,1.8,11.4,2.9,12.5,2.7,15,2.5,17.8,2,16.4,3.3,10.85,2.8
1/22/2000,5.3,2.7,5.6,2.2,5.3,1.6,1.7,2.3,4.15,8.7,-2.75,1.4,0.85,1.5,9.15,1.4,13.6,2.9,14.7,1.9,8.05,1.5,12.75,1.9,11.95,1.7,15.3,2.4,16.4,1.4,12.75,1.8,11.1,2.4
1/23/2000,2.2,1.9,2.5,3,4.2,3.8,0.55,3.9,4.45,8.6,-3.1,3.5,0.55,4.6,10.8,3.6,14.7,2.5,14.75,2.1,10.55,5,13.35,5.3,13.35,4.6,13.9,2.4,14.7,1.2,12.5,2.1,12.5,5.7
1/24/2000,2.75,1.9,2.5,2.3,5.6,4.1,3.9,2.1,3.9,9.9,-2.8,3.8,0.55,1.5,13.6,4.5,18.05,2.3,19.4,1.7,11.95,2.2,13.35,3.3,13.05,3.3,16.1,2.1,17.2,1.6,16.65,4.6,12.8,3
1/25/2000,5.55,1.9,5,2.6,6.1,3.5,4.7,1.7,4.2,5.7,-1.15,2.8,2.5,1.1,13.1,3.4,15.55,3.6,16.1,2.1,11.4,1.6,12.8,3.3,12.8,4.4,18.05,3.4,18.65,2,15.8,6.3,12.2,3.4
1/26/2000,5.3,1.7,3.6,1.1,4.2,2.4,1.4,3.8,5.55,0.7,-3.35,4.2,2.5,2.6,10.25,2.7,15.3,5,13.9,2.9,10.85,1.3,11.35,2.1,10.8,3.8,15.55,3.4,16.7,4.2,14.45,5.7,8.6,1.7
1/27/2000,2.5,1.3,2.5,1.6,5,1.7,-2.2,2.5,2.8,2,-3.3,1.5,0.3,1.7,11.1,0.8,13.6,3.1,13.05,1.7,9.4,1.5,11.7,1.4,11.4,1.7,10.8,2.3,13.85,1.9,12.2,1.9,9.7,1.7
1/28/2000,3.1,1,1.65,1.5,3.6,2.1,-2.2,2.5,3.9,12,-6.15,2.2,-2.5,2.4,10.3,0.8,15,2.7,12.2,1.8,7.8,1.2,8.9,1.2,9.2,2.2,10,2.9,12.75,1.7,8.85,2.2,8.85,2.8
1/29/2000,2.5,2.1,1.7,1.3,6.1,4.7,-1.95,3.1,3.35,10.7,-7.25,1.6,-1.7,1.8,10,0.7,12.75,2.5,12.2,1.9,9.45,0.8,11.35,2.1,11.1,2.3,10.8,2.3,12.2,1.2,6.1,2.1,10.25,2.5
1/30/2000,2.75,2.1,1.1,1.6,6.1,6.4,-0.55,4.7,2.2,10.7,-6.15,3,-3.6,2,10,2.7,13.05,2.1,13.9,1.6,11.1,4.6,11.65,4.3,12.5,6.5,11.65,2.4,15,1.8,6.7,1.9,12.2,6.8
1/31/2000,6.4,3.2,5.55,3.8,6.4,3,2.25,2.6,2.8,10.3,-1.9,2.6,-1.1,1.6,11.65,2,14.2,3,13.9,2.9,10.55,2.5,11.1,3.3,11.4,2.3,12.8,2.4,15,1.9,12.5,2.1,11.35,3.1
2/1/2000,10.3,6.9,10.55,5.1,7.2,6,5.25,6.7,8.6,4.8,2.5,7.6,5.55,1.9,11.7,0.7,16.95,2.6,15.8,2.1,12.2,2.6,14.15,1.3,13.6,2.1,11.1,3,13.9,2.1,10.55,2.5,12.8,3.1
2/2/2000,6.9,2.3,8.35,4.1,5.55,4.1,5.55,1.9,7.5,3.4,1.9,3.9,6.4,3.4,13.65,0.8,19.45,3.4,21.1,3.9,11.7,1.9,13.3,1.8,13.35,3,13.35,4.7,15,1.8,11.1,2,13.6,4.1
2/3/2000,8.35,2.3,5.55,1.8,9.7,6.7,3.85,2.3,10.3,10.7,2.2,5.1,4.7,4.2,15.85,3.7,16.95,3.1,17.2,1.8,11.15,1.8,14.45,4.7,13.9,3.6,13.1,3.9,16.35,2,11.9,2.4,14.15,4.6
2/4/2000,8.05,1.8,6.65,1.9,8.6,2.1,5,2.4,8.1,8,1.1,3.4,1.95,1.6,14.15,2.1,15,3,14.45,2.4,10.55,1,12.25,3.2,13.05,3,14.45,3.3,15.85,1.4,13.05,2.3,13.05,3.5
2/5/2000,6.95,1.7,6.35,2.5,7.75,2.5,8.05,3.8,6.4,10.2,1.65,3.2,1.65,1.1,13.9,2,16.35,3.5,15.55,2.5,11.4,2.9,12.2,4.5,12.5,4.3,15.3,3.4,16.65,1.9,13.35,2.5,10.8,5
2/6/2000,7.8,1.1,6.95,1.2,10,2.1,5.8,2.2,6.95,10.2,0.55,2.2,5.3,1.7,13.05,1.3,15,3.1,17.5,2.4,11.95,2.1,12.5,1.4,12.5,1.3,14.45,2.7,16.35,1.8,12.8,2.1,11.65,2.2
2/7/2000,6.95,1.3,7.2,1.1,8.6,3.4,6.95,3.4,8.05,9.8,2.2,3,3.9,1.9,15,1.4,15.6,3,16.65,1.8,10.55,1,11.95,2.2,13.05,3,16.4,3.4,18.3,0.7,13.35,2.2,11.7,2.5
2/8/2000,6.7,3.3,9.45,2.5,7.2,4.1,6.7,2.2,6.95,5.3,3.9,3.4,4.15,2.1,14.45,1.6,17.8,3.3,16.95,2.7,11.4,0.7,14.7,1.6,11.35,3,17.75,4.1,19.45,1.5,13.9,2.1,11.9,1.6
2/9/2000,4.45,1.6,5.6,2.2,6.35,3,8.3,1.5,5.3,1,0.85,2.6,4.45,1.6,15,2.8,14.15,3.1,14.2,1.9,11.95,1.1,13.9,3.1,12.25,3.2,16.15,2.8,18.9,2,16.4,3.5,12.8,2.6
2/10/2000,4.2,0.8,4.75,2.1,4.75,4,5.55,1.3,5.55,2.8,-0.3,1.8,1.65,1.9,13.6,4.8,13.9,4.3,15,3.6,10,3.1,11.1,4.2,11.1,3.8,16.1,2.2,18.05,1.9,15.55,6.8,10.55,4.4
2/11/2000,11.65,1.6,5.25,2.5,5.55,2.1,6.1,3.2,5.8,4.2,-2.2,3.1,3.9,2.6,11.1,4.8,13.1,3.1,15,2,9.2,4.3,11.4,4.9,10.55,4,12.5,1.8,15.3,1.2,12.75,5.5,10.55,6.1
2/12/2000,10.6,1.7,7.25,2.7,3.9,3.2,4.7,3.9,3.9,2.7,-0.3,3.1,2.5,3.4,10.55,4.2,14.7,5.9,14.75,3.5,10,4.6,10.3,4.7,11.1,4.3,12.75,3.1,16.15,4,12.2,8.2,10.55,5.3
2/13/2000,3.6,1.7,5.25,3.2,4.45,3.7,2.75,5.3,3.9,7.3,0.55,2.9,2.2,3.9,11.95,5.1,13.9,3.3,14.45,3.3,11.95,8.3,13.1,6.7,13.1,6.9,13.1,2.6,14.7,1.3,10.55,5.1,13.1,7.9
2/14/2000,6.65,3,7.2,3.9,3.9,4.2,10.55,8.8,6.1,8.2,-1.1,4.8,3.35,4.9,13.6,5.4,15.25,3.7,15.55,2.4,12.25,6.9,13.6,5.2,13.1,8.4,14.75,2.5,16.1,1.6,17.2,8.1,13.1,7.7
2/15/2000,6.4,3,7.8,2.8,5.8,3.4,5,3.1,7.8,2,-1.1,5.2,4.75,5.3,10.55,1.3,15,3,15.25,2.9,9.7,1,10.85,1.5,10.25,1.8,16.7,3,17.5,1.5,14.7,2.8,10.55,2.1
2/16/2000,7.25,2,5.25,2.6,4.75,4.8,3.9,2.1,6.4,4.9,-1.7,2.4,2.8,3.5,10,2.3,12.5,4.6,15.3,4.4,10,1.4,9.45,2.5,10.55,2.4,17.5,4.1,15.85,2.2,14.45,5.3,10,2.6
2/17/2000,3.6,2.2,4.15,1.6,4.15,2.1,2.75,4.1,6.4,3,-4.7,2.1,0.8,0.9,11.1,1.3,11.9,3.5,13.1,4.1,10,0.7,9.7,2.5,10.55,2.5,13.05,5.1,14.45,3.9,11.1,4.5,9.7,3.1
2/18/2000,3.05,1.5,4.15,2.1,4.4,1.3,0.55,1.8,4.45,2.5,-4.7,1.6,0,1.4,11.4,1.3,15.55,2.8,13.05,1.2,9.45,1,11.4,1.3,11.95,2.1,9.75,2.5,13.6,1.7,10,2.1,11.65,3
2/19/2000,5.3,0.7,3.6,2,6.1,3.9,2.8,4.3,5.55,6.3,-2.5,3.5,0.55,1.9,11.65,1,18.6,3.8,18.05,1.8,10.55,1.3,13.05,1,13.35,2.1,14.75,2.5,15.8,1.4,10.85,1.7,13.05,2.5
2/20/2000,4.75,1.3,3.05,1.4,8.6,3,5.85,2.9,6.65,3.5,0.3,4.2,0.3,1.3,15,5.9,13.6,6.9,15.3,7.1,14.45,4,14.15,7.5,13.65,4.5,18.9,4.5,20.25,3.2,11.35,3.1,13.9,5.5
2/21/2000,8.35,2.2,8.05,2.5,7.5,2.2,10.25,3.7,6.65,7.1,2.75,2.4,4.7,1.7,13.05,4.5,11.65,4.6,13.6,4.8,12.75,3.3,13.85,3.2,13.05,3.6,15.55,4.6,18.3,4.6,9.45,2.7,13.6,4.2
2/22/2000,7.5,4.7,6.65,4.2,6.65,3.8,7.75,5.5,7.5,2.8,5.25,4.2,8.35,2.2,11.4,3.7,12.5,2.3,13.35,1.7,10.55,5.3,10.55,5.2,11.1,6.2,11.95,2.1,15,1.6,11.95,2.9,11.4,8
2/23/2000,5,3.1,4.15,2.6,6.35,2.9,6.15,5.5,6.4,0.8,3.1,4.5,5.55,2.1,9.45,4.2,11.95,5.1,13.6,5,7.75,2,8.05,2.8,9.45,3.6,13.35,2.5,15,2.2,9.45,4.1,8.9,3.2
2/24/2000,4.75,2.6,4.75,2.8,4.7,2.2,2.2,5.9,5.6,1,-1.1,2.4,3.35,0.6,6.4,1.3,11.1,5.3,13.35,4.4,6.15,1.9,6.95,4,8.35,3.1,10,2.8,13.3,4.2,7.5,3.1,7.2,4.4
2/25/2000,5,2.8,6.9,3.8,5,3.6,1.1,2.1,3.1,5.3,1.1,3.3,3.05,1.8,10.3,1.3,12.8,2.9,13.6,1.9,9.75,1.7,11.95,2.8,10.55,2.8,8.35,2.5,12.2,2.2,8.6,2.5,9.7,2
2/26/2000,7.8,1.6,9.15,3.4,6.95,3.4,4.45,7,4.7,9.2,2.2,3.7,6.4,2.3,14.15,4,12.8,2.7,13.3,2.2,14.15,3.8,14.7,5.6,13.6,8.3,11.15,2.9,13.35,1.8,9.15,2.3,13.05,6.4
2/27/2000,8.35,2.5,9.2,2.6,8.35,2.6,6.9,4.9,9.2,3.9,4.2,3,6.65,2.2,9.4,4.9,12.8,5.3,13.6,2.9,11.1,5.1,11.65,4.3,11.95,6.7,17.5,3.9,16.95,2.4,11.4,4,12.2,6.8
2/28/2000,7.5,3.9,7.5,3.9,6.95,3.2,5.55,2.1,8.35,4.6,3.6,4.4,7.5,4.3,10.8,1.4,11.65,2.4,13.65,3.6,10,3,11.35,2.6,11.65,4.7,14.7,4.1,16.65,4.5,11.4,5.1,11.1,5
3/1/2000,4.7,2.1,5.25,3.1,6.4,2.4,5.55,3.6,7.2,6.2,3.6,3.7,6.95,1.7,8.85,0.8,13.05,3,13.9,2.2,10,2.1,11.4,2.5,10.55,3.4,13.9,4.1,16.4,3.1,12.25,4.5,9.4,2.8
3/2/2000,8.3,3.5,8.6,2.5,8.1,2.7,6.4,4,7.2,6.2,4.15,2.8,6.7,1.6,9.45,2.8,13.9,3.5,13.9,2.3,9.45,2.1,10.25,2.7,11.1,3.6,12.8,2.5,15,1.5,11.4,2.3,11.1,2.4
3/3/2000,5.85,1.5,7.2,2,7.8,2.8,5.85,2.9,7.2,6.2,5.8,3,6.35,0.8,11.7,2.1,13.6,3.8,13.05,2.4,9.45,1.1,12.25,2.5,11.7,3.8,16.65,3,18.05,2.6,13.65,2.8,10.25,2.1
3/4/2000,4.45,2.6,6.4,2.5,4.45,2.3,10,6.1,7.2,6.2,5.55,3.1,6.65,2.4,12.5,1.8,12.2,3,13.6,2.6,11.95,3.3,11.95,2.6,12.2,3.9,17.2,4.4,16.95,3,15.3,2.6,11.65,3.9
3/5/2000,3.05,1.8,4.15,3.6,4.45,1.8,9.75,3.1,7.2,6.2,3.9,2.1,6.95,1.6,8.9,4.5,12.5,7.5,12.2,5.7,10,2.8,9.7,3.6,9.45,6.9,11.4,5.2,12.5,3.7,10.3,7,8.9,4.2
3/6/2000,5.3,2.1,5.3,1.8,4.15,1.5,5.85,3.3,7.2,6.2,1.65,3.8,4.45,2.3,9.75,2.1,9.7,2.9,11.1,2.8,9.45,2.7,10,2.5,11.1,3,7.5,3.7,8.9,2.7,8.35,4.6,10,3.3
3/7/2000,4.15,0.9,3.9,2.1,6.4,2.4,5,2.2,5.6,5.9,1.65,2.5,4.45,1.1,8.9,3.5,10.8,3.4,12.2,3.8,9.7,3.3,9.75,4,9.7,3.9,7.75,3.3,9.45,2.2,9.45,4,10.3,5.5
3/8/2000,6.1,1.5,8.05,2,6.95,1.5,5.85,4.4,7.5,4.1,3.3,3.4,5.85,1.6,10.85,4.5,12.5,4.5,12.5,4,9.2,3.5,8.35,4,8.35,4.3,10,2.4,11.95,1.6,9.7,5.8,7.75,5.7
3/9/2000,6.95,1.8,7.25,3,7.5,1.7,3.6,2.2,7.5,1.3,2.5,3.1,6.1,1.1,10.85,2.6,11.95,4.2,12.2,2.5,10.55,3.7,11.15,3.9,11.65,3.6,11.4,2.3,14.4,1.5,10,3.1,10.55,4.7
3/10/2000,6.7,2.3,7.25,3.8,7.5,2.2,3.9,3.4,7.2,4.6,5,3.7,6.4,1.4,11.1,1.2,13.3,2.9,14.15,2.8,9.45,1.1,11.35,2.7,11.1,2.1,11.65,2.5,14.75,1.6,11.7,2.3,9.75,1.6
3/11/2000,6.95,2.9,6.7,2.5,6.35,4.6,5,4.3,6.65,1.3,4.15,7.1,8.3,6.1,13.05,2.8,17.2,2.7,16.7,2.4,13.3,1.9,13.3,3.3,13.05,3.8,15,2.8,17.5,1.7,13.1,2.2,12.5,2.9
3/12/2000,7.5,1.8,7.25,1.6,5.25,2.1,3.9,1.3,5.8,2.1,1.4,2.9,4.2,0.4,13.6,2.1,15.85,2.5,14.45,2.2,13.05,2.1,12.5,2.5,12.25,4.3,17.2,3,18.65,1.6,15.3,2.6,11.1,2.7
3/13/2000,8.6,3.6,8.3,2.9,10,3.3,6.65,2.3,8.9,4.6,2.8,1.8,7.2,1.1,14.7,1.5,14.75,3.1,14.7,3.2,13.65,1.9,12.2,2.5,12.2,6.3,18.1,2.5,21.4,2.3,16.4,2.1,11.4,2.7
3/14/2000,6.95,3.7,8.05,3.2,6.1,5.9,9.15,4.1,7.2,2.9,4.15,9.4,8.35,6.5,15.3,2.1,13.6,2.5,15.85,2.5,15.55,3.4,16.15,2.7,15.25,4.6,17.5,2.4,21.1,1.4,17.5,1.8,14.2,2.5
3/15/2000,4.75,1.3,5,1.4,5.55,1.3,5.3,4.4,6.7,3.2,1.95,3.5,5.3,0.7,17.2,2.1,14.75,3.4,15,2.9,15,3.1,15.55,2.4,15,4.1,18.6,3.5,21.4,2.5,19.45,4.9,13.9,2.4
3/16/2000,7.5,4.6,7.25,4.2,7.5,6.4,5.85,5.5,8.65,1.7,4.2,5.5,9.7,5,16.65,3.6,15,3.4,14.75,2.7,16.1,3.4,14.15,3.9,12.75,8.9,18.35,2.6,21.1,2.3,15.3,2.5,13.6,5.1
3/17/2000,6.4,5.6,6.65,3.4,6.1,5.8,3.6,2.8,7.5,3.4,1.65,6.3,8.05,8.2,13.9,2.9,15.55,3.1,16.4,3.1,14.2,5.2,13.65,3.2,12.8,4.2,17.75,3,20.85,3.2,16.7,6.1,11.9,3
3/18/2000,7.2,5.8,6.95,3.9,7.2,5.8,5.55,4.5,8.35,3.6,2.5,7.1,8.05,4.2,16.1,1.6,16.4,3.2,17.2,2.1,15.25,2.1,15.3,2.4,14.15,5.1,16.4,3,20.55,2.5,16.1,3.1,13.6,2.5
3/19/2000,5.55,3.3,6.1,3.9,5.3,4.1,4.45,6.5,6.35,3.4,1.95,7.2,6.65,5.1,16.7,4.2,16.1,2.7,15.8,2.8,16.15,4,13.35,4.2,11.95,9.6,17.2,3.3,20.85,2.1,17.2,3.8,13.05,5.1
3/20/2000,7.25,1,7.2,1.9,4.7,2,3.35,5.9,6.95,1.5,0.25,3.3,3.9,0.8,12.2,3.6,16.95,4.4,15.3,3.7,13.9,10.1,12.8,6.4,13.05,7.9,14.75,7.1,16.15,4.9,13.05,10.6,14.45,6.2
3/21/2000,10.55,1.7,10,2.5,9.45,1.9,4.15,2.5,10.3,1.4,4.7,3.8,9.15,0.8,13.1,1.7,17.2,4.9,14.4,2.4,17.5,7.2,16.4,4.6,16.7,3.8,9.7,3.8,11.95,2.3,14.15,7.3,16.65,3.8
3/22/2000,7.8,3.7,7.75,3.6,7.75,4.9,10.85,5.7,8.35,2.1,8.35,5.1,8.05,1.3,15.85,2.3,15.3,3.6,15,2.4,14.2,3.2,17.2,3.8,14.45,4.2,10.8,2.2,14.45,2.5,14.45,3,13.35,3.8
3/23/2000,6.95,2.6,6.1,2.8,6.95,4.4,5.55,5,7.25,1.6,4.15,7.5,7.5,4.3,17.75,2,15.6,3.7,15,2.5,14.15,3.3,13.3,2.9,11.65,4.7,14.2,3,17.25,1.8,16.7,3.2,11.65,4.3
3/24/2000,6.9,1.2,7.5,2.5,6.95,2.1,6.4,4.2,7.8,1.4,3.6,2.9,6.4,0.2,15,1.9,13.9,3.5,14.45,3.4,12.5,2.9,12.5,2.8,11.1,3.9,17.2,3,18.9,1.4,16.4,2.3,9.7,4.1
3/25/2000,6.95,1.2,7.8,1.6,7.25,1.4,11.1,4.2,8.05,1.2,4.7,3.2,8.35,0.2,15.25,2.9,13.9,3.8,14.7,3,13.05,2.7,12.5,2.8,11.35,4,17.8,3,20.55,2.1,18.35,2.8,11.95,4.2
3/26/2000,8.35,1.6,9.45,2.2,8.05,2.4,9.75,2.3,8.9,2.1,6.1,2.6,7.5,0,15.55,2.4,13.3,3.5,15.25,3.1,13.9,2.6,11.7,2.6,11.65,4.6,18.05,2.9,20.8,2.4,18.65,2.4,11.4,3.9
3/27/2000,7.5,4.8,6.7,3.8,7.8,4.6,11.4,3.8,8.65,3.1,6.95,5,8.6,4.7,14.7,5.1,15,3.3,15,2.5,11.95,4,11.65,3.4,11.1,8.2,18.35,3.4,21.1,3,17.75,3.1,11.95,6.8
3/28/2000,6.1,2.8,6.65,2.7,6.65,3.9,5.55,6.2,8.6,2.7,4.45,6.2,9.7,5.5,12.5,2.4,14.45,3.5,15,3.9,12.5,2.1,11.1,2.7,10.8,5.8,16.95,3.7,18.6,1.8,17.2,2.4,9.4,3.9
3/29/2000,5.8,1.7,5.3,3.7,6.4,2.2,4.45,4.2,7.2,1.7,3.3,3.6,7.2,0.5,13.9,3,14.45,3.6,15,3.1,13.6,2.4,11.65,2.5,12.8,4.8,16.7,2.6,19.45,2.1,17.2,2.6,13.05,4.1
3/30/2000,8.6,1.3,7.25,2.2,8.6,2.6,4.75,3.1,10.25,1.8,4.15,3,6.4,0.4,16.65,2.5,14.15,2.8,15.25,3,15.55,6.6,14.45,3.7,14.2,3.3,17.25,3.5,20.85,2.9,17.5,6.7,13.1,3.4
3/31/2000,10.85,2,9.15,3.2,10.85,2.5,7.25,3.7,11.95,2.1,6.35,3.4,8.05,0.1,18.3,3.6,19.15,5,15.85,3.1,19.45,7.2,19.45,5,19.4,5.3,13.6,4.6,14.45,3.7,16.95,9.9,21.4,8.1
4/1/2000,13.85,2,12.75,2.2,12.5,2.2,10.3,3.8,15,2.5,10.85,4.4,13.05,0.6,18.05,1.9,20,6,18.6,2.5,20,5.2,21.65,4.6,21.1,3.8,11.95,2.6,15,2.1,18.05,5,21.4,3.5
4/2/2000,12.2,2,11.7,3.2,11.65,1.7,13.05,5.9,14.45,1.5,9.45,3.9,12.8,0.8,20.55,2,16.95,3.1,16.65,2.5,20.3,1.7,20.25,2.9,20.8,2.7,12.8,2.5,16.95,1.9,18.6,2.1,19.15,2.4
4/3/2000,14.7,1.7,14.7,2.4,13.35,2,12.5,5.4,15.3,1.6,11.95,3.5,13.05,0.5,22.5,2.1,16.1,3.9,17.25,2.6,20,3.1,17.75,3.8,15.85,3.1,17.25,3,20.85,2.3,20.8,2.8,15,3.8
4/4/2000,8.05,3.2,10,3.5,8.05,4.2,16.1,4,9.45,2.8,8.6,8.4,12.8,5.2,21.65,3,15.3,3.6,16.65,3.4,15.85,4.3,15,4.1,13.9,5.7,21.4,2.7,25.3,2.1,23.05,3.4,13.6,5.1
4/5/2000,6.7,1.6,6.95,2.6,6.9,5.6,9.7,3.3,6.95,1.3,2.5,5.8,5.55,1.6,18.6,2.8,15.85,3.1,16.4,2.5,15,2.7,13.6,3.3,12.75,5.7,23.05,3.4,25,2.7,23.9,4.2,12.8,4.7
4/6/2000,8.6,3.7,7.5,2.8,6.95,3.5,10.55,4.5,8.9,3.8,4.45,7.2,8.35,5.1,19.2,3.1,15.55,3.3,15.25,2.6,16.1,2.8,14.15,2.7,12.75,5.1,21.7,2.9,24.45,2.5,23.65,3.6,12.2,4.3
